season,player_id,team_id,pos1,pos2
2005,glovedi01,SAS,SG,
2005,horryro01,SAS,PF,
2005,johnsli01,SAS,SF,
2005,marksse01,SAS,PF,
2005,masseto01,SAS,PF,
2005,mohamna01,SAS,C,
2005,nestera01,SAS,C,
2005,parketo01,SAS,PG,
2005,robingl01,SAS,SF,
2005,rosema01,SAS,PF,
2005,udrihbe01,SAS,PG,
2005,wilksmi01,SAS,PG,
2004,atkinch01,DET,PG,
2004,billuch01,DET,PG,
2004,campbel01,DET,C,
2004,davishu01,DET,SG,
2004,fowlktr01,DET,SF,
2004,hamda01,DET,SF,
2004,hamilri01,DET,SG,
2004,hunteli01,DET,SG,
2004,jamesmi01,DET,PG,
2004,milicda01,DET,C,
2004,okurme01,DET,PF,
2004,princta01,DET,SF,
2004,rebraze01,DET,C,
2004,surabo01,DET,SG,
2004,wallabe01,DET,C,
2004,wallara01,DET,PF,
2004,willico02,DET,PF,
2003,bateeme01,SAS,C,
2003,bowenbr01,SAS,SF,
2003,brownde02,SAS,SG,
2003,claxtsp01,SAS,PG,
2003,duncati01,SAS,PF,
2003,ferryda01,SAS,SF,
2003,ginobma01,SAS,SG,
2003,goldwan01,SAS,PG,
2003,jacksst02,SAS,SG,
2003,kerrst01,SAS,PG,
2003,parketo01,SAS,PG,
2003,robinda01,SAS,C,
2003,rosema01,SAS,PF,
2003,smithst01,SAS,SG,
2003,willike02,SAS,C,
2002,bryanko01,LAL,SG,
2002,crispjo01,LAL,PG,
2002,fishede01,LAL,PG,
2002,foxri01,LAL,SF,
2002,georgde01,LAL,SF,
2002,horryro01,LAL,PF,
2002,hunteli01,LAL,PG,
2002,madsema01,LAL,PF,
2002,mccoyje01,LAL,C,
2002,medvest01,LAL,C,
2002,onealsh01,LAL,C,
2002,penbemi01,LAL,PG,
2002,richmmi01,LAL,SG,
2002,shawbr01,LAL,PG,
2002,walkesa01,LAL,PF,
2001,bryanko01,LAL,SG,
2001,fishede01,LAL,PG,
2001,fostegr01,LAL,C,
2001,foxri01,LAL,SF,
2001,georgde01,LAL,SF,
2001,grantho01,LAL,PF,
2001,harpero01,LAL,PG,
2001,horryro01,LAL,PF,
2001,luety01,LAL,PG,
2001,madsema01,LAL,PF,
2001,medvest01,LAL,PF,
2001,onealsh01,LAL,C,
2001,penbemi01,LAL,PG,
2001,rideris01,LAL,SG,
2001,shawbr01,LAL,SG,
2000,bryanko01,LAL,SG,
2000,celesjo01,LAL,PG,
2000,fishede01,LAL,PG,
2000,foxri01,LAL,SF,
2000,georgde01,LAL,SF,
2000,greenac01,LAL,PF,
2000,harpero01,LAL,PG,
2000,horryro01,LAL,PF,
2000,jacobsa01,LAL,PG,
2000,knightr01,LAL,C,
2000,luety01,LAL,PG,
2000,onealsh01,LAL,C,
2000,ricegl01,LAL,SF,
2000,sallejo01,LAL,C,
2000,shawbr01,LAL,SG,
1999,daniean01,SAS,PG,
1999,duncati01,SAS,PF,
1999,eliema01,SAS,SG,
1999,elliose01,SAS,SF,
1999,gazean01,SAS,SG,
1999,jacksja01,SAS,SG,
1999,johnsav01,SAS,PG,
1999,kerrst01,SAS,PG,
1999,kerseje01,SAS,SF,
1999,kingge02,SAS,SF,
1999,perduwi01,SAS,C,
1999,robinda01,SAS,C,
1999,rosema01,SAS,PF,
1999,willibr01,SAS,SG,
1998,boothke01,CHI,SF,
1998,brownra02,CHI,PG,
1998,buechju01,CHI,SF,
1998,burresc01,CHI,SF,
1998,caffeja01,CHI,PF,
1998,harpero01,CHI,PG,
1998,jordami01,CHI,SG,
1998,kerrst01,CHI,PG,
1998,kleinjo01,CHI,C,
1998,kukocto01,CHI,SF,
1998,larueru01,CHI,PG,
1998,longllu01,CHI,C,
1998,pippesc01,CHI,SF,
1998,rodmade01,CHI,PF,
1998,simpkdi01,CHI,PF,
1998,vaughda02,CHI,PF,
1998,wennibi01,CHI,C,
1997,brownra02,CHI,PG,
1997,buechju01,CHI,SF,
1997,caffeja01,CHI,PF,
1997,delebi01,CHI,C,
1997,harpero01,CHI,PG,
1997,jordami01,CHI,SG,
1997,kerrst01,CHI,PG,
1997,kukocto01,CHI,SF,
1997,longllu01,CHI,C,
1997,parisro01,CHI,C,
1997,pippesc01,CHI,SF,
1997,rodmade01,CHI,PF,
1997,simpkdi01,CHI,PF,
1997,steigma01,CHI,SF,
1997,wennibi01,CHI,C,
1996,brownra02,CHI,PG,
1996,buechju01,CHI,SF,
1996,caffeja01,CHI,PF,
1996,edwarja01,CHI,C,
1996,haleyja01,CHI,C,
1996,harpero01,CHI,PG,
1996,jordami01,CHI,SG,
1996,kerrst01,CHI,PG,
1996,kukocto01,CHI,SF,
1996,longllu01,CHI,C,
1996,pippesc01,CHI,SF,
1996,rodmade01,CHI,PF,
1996,sallejo01,CHI,PF,
1996,simpkdi01,CHI,PF,
1996,wennibi01,CHI,C,
1995,breauti01,HOU,SF,
1995,brooksc01,HOU,PG,
1995,brownch01,HOU,SF,
1995,caldwad01,HOU,PF,
1995,cassesa01,HOU,PG,
1995,chilcpe01,HOU,PF,
1995,drexlcl01,HOU,SG,
1995,eliema01,HOU,SF,
