player_id,player_name,shoots,draft_team_name,experience,nba_debut,position_1,position_2,position_3,position_4,position_5,position_6,draft_year,height_cm,weight_kg,age,draft_round_pick_rank,draft_overall_pick_rank,career_points,career_total_rebound_pct,career_assists_pct,career_field_goal_pct,career_three_point_pct,career_free_throw_pct,career_effective_fg_pct,career_per,career_win_shares
paytoga02,gary payton ii,left,nba draft,9.0,2017,shooting guard,point guard,,small forward,,,2023,188.0,86.0,33,,,5.5,2.8,1.2,55.7,34.0,62.5,61.5,15.1,11.8
caupatr01,troy caupain,right,nba draft,,2018,point guard,,,,,,2023,193.0,95.0,30,,,,,,,,,,,
machasc01,scott machado,right,nba draft,,2012,point guard,,,,,,2023,185.0,93.0,35,,,,,,,,,,,
morrija01,jaylen morris,right,nba draft,,2018,shooting guard,,,,,,2023,196.0,84.0,30,,,,,,,,,,,
terryem01,emanuel terry,right,nba draft,,2019,power forward,,,,,,2023,206.0,100.0,29,,,,,,,,,,,
cavanty01,tyler cavanaugh,right,nba draft,,2017,power forward,,,,,,2023,206.0,108.0,31,,,,,,,,,,,
highsha01,haywood highsmith,right,nba draft,5.0,2019,small forward,power forward,,,,,2023,201.0,100.0,29,,,5.4,3.1,1.1,44.9,37.4,60.5,55.5,9.8,7.5
youngni01,nick young,right,washington wizards,,2007,shooting guard,,,,,,2007,201.0,95.0,40,16,16,,,,,,,,,
hannadu01,dusty hannahs,right,nba draft,2.0,2019,shooting guard,,,,,,2023,190.0,95.0,32,,,,,,,,,,,
akoonde01,devaughn akoon-purcell,right,nba draft,,2018,shooting guard,,,,,,2023,198.0,91.0,32,,,,,,,,,,,
moreler01,eric moreland,right,nba draft,,2014,power forward,,,,,,2023,208.0,108.0,34,,,,,,,,,,,
chiozch01,chris chiozza,right,nba draft,4.0,2019,point guard,,,,,,2023,180.0,79.0,30,,,,,,,,,,,
evansja01,jawun evans,right,philadelphia 76ers,,2017,point guard,,,,,,2017,183.0,84.0,29,9,39,,,,,,,,,
macurjp01,j.p. macura,right,nba draft,,2019,shooting guard,,,,,,2023,196.0,92.0,30,,,,,,,,,,,
motiedo01,donatas motiejå«nas,left,minnesota timberwolves,,2012,power forward,,,,,,2011,213.0,101.0,35,20,20,,,,,,,,,
