link,team_full_name,location,team_names,seasons,seasons_count,seasons_range,record,playoff_appearances,championships
https://www.basketball-reference.com/teams/CHO,Charlotte Hornets,"Charlotte, North Carolina","Charlotte Bobcats, Charlotte Hornets",36; 1988-89 to 2025-26,36,1988-89 to 2025-26,"1193-1602, .427 W-L%",10,0
https://www.basketball-reference.com/teams/WAS,Washington Wizards,"Washington, District of Columbia","Washington Wizards, Washington Bullets, Capital Bullets, Baltimore Bullets, Chicago Zephyrs, Chicago Packers",65; 1961-62 to 2025-26,65,1961-62 to 2025-26,"2290-2879, .443 W-L%",30,1
https://www.basketball-reference.com/teams/ORL,Orlando Magic,"Orlando, Florida",Orlando Magic,37; 1989-90 to 2025-26,37,1989-90 to 2025-26,"1356-1529, .470 W-L%",18,0
https://www.basketball-reference.com/teams/UTA,Utah Jazz,"Salt Lake City, Utah","Utah Jazz, New Orleans Jazz",52; 1974-75 to 2025-26,52,1974-75 to 2025-26,"2194-1920, .533 W-L%",31,0
https://www.basketball-reference.com/teams/MIN,Minnesota Timberwolves,"Minneapolis, Minnesota",Minnesota Timberwolves,37; 1989-90 to 2025-26,37,1989-90 to 2025-26,"1196-1680, .416 W-L%",13,0
https://www.basketball-reference.com/teams/LAC,Los Angeles Clippers,"Los Angeles, California","Los Angeles Clippers, San Diego Clippers, Buffalo Braves",56; 1970-71 to 2025-26,56,1970-71 to 2025-26,"1893-2549, .426 W-L%",19,0
https://www.basketball-reference.com/teams/SAC,Sacramento Kings,"Sacramento, California","Sacramento Kings, Kansas City Kings, Kansas City-Omaha Kings, Cincinnati Royals, Rochester Royals",78; 1948-49 to 2025-26,78,1948-49 to 2025-26,"2788-3299, .458 W-L%",30,1
https://www.basketball-reference.com/teams/PHO,Phoenix Suns,"Phoenix, Arizona",Phoenix Suns,58; 1968-69 to 2025-26,58,1968-69 to 2025-26,"2465-2142, .535 W-L%",33,0
https://www.basketball-reference.com/teams/MEM,Memphis Grizzlies,"Memphis, Tennessee","Memphis Grizzlies, Vancouver Grizzlies",31; 1995-96 to 2025-26,31,1995-96 to 2025-26,"1046-1347, .437 W-L%",14,0
https://www.basketball-reference.com/teams/NOP,New Orleans Pelicans,"New Orleans, Louisiana","New Orleans Pelicans, New Orleans/Oklahoma City Hornets, New Orleans Hornets",24; 2002-03 to 2025-26,24,2002-03 to 2025-26,"852-998, .461 W-L%",9,0
