,player_id,player_name,Position,Shoots,Height,Weight,Birthday,Birthmonth,Birthyear,College,Last Season Games,Last Season Points,Last Season Total Rebound Percentage,Last Season Assists Percentage,Last Season Field Goal Percentage,Last Season 3pt Field Goal Percentage,Last Season TFree Throw Percentage,Last Season Effective Field Goal Percentage,Experience,Career Games,Career Points,Career Total Rebound Percentage,Career Assists Percentage,Career Field Goal Percentage,Career 3pt Field Goal Percentage,Career Free Throw Percentage,Career Effective Field Goal Percentage
365,manntr01,Tre Mann,Point Guard,Right,6-3,178,3,February,2001,Florida,13,14.1,2.9,3.0,13,14.1,2.9,3.0,4,181,9.4,2.8,2.3,41.1,35.0,78.8,49.0
366,willivi01,Vince Williams Jr.,Shooting Guard,Left,6-4,205,30,August,2000,VCU,27,6.6,3.6,2.0,27,6.6,3.6,2.0,3,94,7.8,4.3,2.5,42.3,32.8,80.1,51.6
367,josepco01,Cory Joseph,"Point Guard , Shooting Guard",Right,6-2,200,20,August,1991,Texas,50,3.5,1.5,1.4,50,3.5,1.5,1.4,14,866,6.7,2.4,2.9,44.0,35.0,78.6,49.2
368,exumda01,Dante Exum,"Point Guard , Shooting Guard",Right,6-5,214,13,July,1995,Colleges,20,8.7,1.7,2.8,20,8.7,1.7,2.8,8,320,6.2,1.9,2.3,43.5,34.3,76.5,50.7
369,greenje02,Jeff Green,"Power Forward, Small Forward, , Center",Right,6-8,235,28,August,1986,Georgetown,32,5.4,1.8,0.6,32,5.4,1.8,0.6,17,1217,11.8,4.0,1.5,45.0,33.8,80.4,50.2
370,edwarke02,Kessler Edwards,Small Forward,Right,6-8,215,9,August,2000,Pepperdine,40,4.2,2.9,1.1,40,4.2,2.9,1.1,4,178,3.6,2.2,0.6,42.8,36.0,78.6,52.1
371,wallake01,Keaton Wallace,Point Guard,Left,6-3,195,26,February,1999,"Texas-San,Antonio",31,5.4,1.6,2.6,31,5.4,1.6,2.6,1,31,5.4,1.6,2.6,40.1,32.9,100.0,48.5
372,tysonja01,Jaylon Tyson,Shooting Guard,Right,6-6,215,2,December,2002,Texas,47,3.6,2.0,0.9,47,3.6,2.0,0.9,1,47,3.6,2.0,0.9,43.0,34.5,79.2,49.7
373,willigr01,Grant Williams,Power Forward,Right,6-6,236,30,November,1998,Tennessee,16,10.4,5.1,2.3,16,10.4,5.1,2.3,6,380,7.2,3.7,1.5,45.2,37.7,77.4,55.8
374,clarkja02,Jaylen Clark,Shooting Guard,Right,6-5,205,13,October,2001,UCLA,40,4.1,1.3,0.7,40,4.1,1.3,0.7,1,40,4.1,1.3,0.7,46.7,43.1,78.4,55.8
375,jacksqu01,Quenton Jackson,Point Guard,Right,6-5,175,15,September,1998,"Texas,A&M",28,5.8,1.6,1.9,28,5.8,1.6,1.9,3,40,5.5,1.4,1.8,46.7,30.8,78.1,51.5
376,pottemi01,Micah Potter,"Power Forward , Center",Right,6-10,248,6,April,1998,"Ohio,State",38,4.3,4.3,0.8,38,4.3,4.3,0.8,4,64,3.9,3.6,0.6,45.3,34.4,83.3,56.2
377,theisda01,Daniel Theis,Center,Right,6-8,245,4,April,1992,Colleges,38,4.3,4.3,1.6,38,4.3,4.3,1.6,8,411,7.1,4.7,1.3,53.7,32.6,72.6,58.3
378,goodwjo01,Jordan Goodwin,"Point Guard , Shooting Guard",Right,6-3,200,23,October,1998,"Saint,Louis",29,5.6,3.9,1.4,29,5.6,3.9,1.4,4,150,6.2,3.8,2.4,41.0,32.3,76.3,47.1
379,bassech01,Charles Bassey,Center,Right,6-10,235,28,October,2000,"Western,Kentucky",36,4.4,4.2,0.5,36,4.4,4.2,0.5,4,113,4.3,4.3,0.8,63.1,23.1,64.8,63.6
380,jonesco02,Colby Jones,Shooting Guard,Right,6-6,205,28,May,2002,Xavier,39,4.0,2.2,1.1,39,4.0,2.2,1.1,2,69,3.2,1.8,0.9,43.5,25.4,63.0,48.0
381,ruperra01,Rayan Rupert,Shooting Guard,Right,6-6,205,31,May,2004,Colleges,52,3.0,1.3,0.5,52,3.0,1.3,0.5,2,91,3.4,1.8,1.0,37.0,32.1,76.4,44.2
382,carteje01,Jevon Carter,Point Guard,Right,6-1,200,14,September,1995,"West,Virginia",36,4.3,1.1,1.1,36,4.3,1.1,1.1,7,412,5.2,1.7,1.6,39.4,37.9,79.9,51.4
383,roddyda01,David Roddy,Power Forward,Right,6-4,255,27,March,2001,"Colorado,State",33,4.6,2.5,1.1,33,4.6,2.5,1.1,3,168,6.2,2.9,1.0,42.1,30.2,67.9,49.1
384,millejo02,Jordan Miller,Small Forward,Left,6-7,195,23,January,2000,"George,Mason",37,4.1,1.6,0.9,37,4.1,1.6,0.9,2,45,3.7,1.4,0.8,44.1,22.5,81.1,47.2
385,queentr01,Trevelin Queen,Shooting Guard,Right,6-6,190,25,February,1997,"College,of,Marin",31,4.9,1.7,1.2,31,4.9,1.7,1.2,4,62,4.1,1.7,1.1,37.2,27.1,85.7,44.5
386,moorewe01,Wendell Moore Jr.,Shooting Guard,Right,6-5,213,18,September,2001,Duke,36,4.2,2.6,1.2,36,4.2,2.6,1.2,3,90,2.3,1.4,0.7,46.0,25.0,81.5,50.3
387,hylanbo01,Bones Hyland,"Point Guard , Shooting Guard",Right,6-2,173,14,September,2000,VCU,24,6.2,1.0,1.3,24,6.2,1.0,1.3,4,186,9.5,2.2,2.6,39.8,36.4,84.8,50.6
388,barlodo01,Dominick Barlow,"Small Forward , Power Forward",Right,6-9,221,26,May,2003,Colleges,35,4.2,2.4,0.5,35,4.2,2.4,0.5,3,96,4.2,3.1,0.8,51.9,25.0,68.0,53.5
389,mcderdo01,Doug McDermott,"Small Forward , Power Forward",Right,6-6,225,3,January,1992,Creighton,42,3.5,0.5,0.2,42,3.5,0.5,0.2,11,697,8.6,2.1,1.0,47.0,41.1,80.4,57.3
390,vandeja01,Jarred Vanderbilt,Power Forward,Left,6-8,214,3,April,1999,Kentucky,36,4.1,5.1,1.1,36,4.1,5.1,1.1,7,309,5.9,6.2,1.4,56.0,28.8,63.8,57.9
391,harriga01,Gary Harris,Shooting Guard,Right,6-4,210,14,September,1994,"Michigan,State",48,3.0,1.3,0.6,48,3.0,1.3,0.6,11,618,10.4,2.3,1.8,44.6,36.9,81.0,53.1
392,biyombi01,Bismack Biyombo,Center,Right,6-8,255,28,August,1992,Colleges,28,5.1,5.6,1.1,28,5.1,5.6,1.1,14,867,5.1,5.9,0.7,53.7,0.0,55.1,53.7
393,brookke02,Keion Brooks Jr.,Small Forward,Right,6-7,210,7,August,2000,Kentucky,14,10.1,4.1,0.9,14,10.1,4.1,0.9,1,14,10.1,4.1,0.9,48.6,32.6,73.3,55.0
394,diengou01,Ousmane Dieng,"Power Forward , Center",Right,6-10,222,21,May,2003,Colleges,37,3.8,2.2,0.8,37,3.8,2.2,0.8,3,109,4.3,2.2,1.0,42.4,29.3,72.7,50.7
395,cartede02,Devin Carter,Point Guard,Right,6-2,195,18,March,2002,"South,Carolina",36,3.8,2.1,1.1,36,3.8,2.1,1.1,1,36,3.8,2.1,1.1,37.0,29.5,59.1,44.1
396,garzalu01,Luka Garza,Center,Right,6-10,235,27,December,1998,Iowa,39,3.5,1.4,0.3,39,3.5,1.4,0.3,4,124,4.9,2.0,0.4,49.0,31.4,69.9,54.5
397,lowryky01,Kyle Lowry,Point Guard,Right,6-0,196,25,March,1986,Villanova,35,3.9,1.9,2.7,35,3.9,1.9,2.7,19,1173,13.9,4.2,6.1,42.3,36.8,81.5,51.2
398,shannte01,Terrence Shannon Jr.,Shooting Guard,Left,6-6,215,30,July,2000,"Texas,Tech",32,4.3,1.5,1.0,32,4.3,1.5,1.0,1,32,4.3,1.5,1.0,48.2,35.5,81.0,53.1
399,bambamo01,Mo Bamba,Center,Right,7-0,231,12,May,1998,Texas,32,4.3,4.5,0.6,32,4.3,4.5,0.6,7,364,6.8,5.4,0.8,47.7,35.6,68.2,55.0
400,jacksre01,Reggie Jackson,"Point Guard , Shooting Guard",Right,6-2,208,16,April,1990,"Boston,College",31,4.4,1.4,1.5,31,4.4,1.4,1.5,14,884,12.3,2.8,4.1,42.3,34.5,85.4,48.4
401,baglema01,Marvin Bagley III,"Center , Power Forward",Left,6-10,235,14,March,1999,Duke,31,4.4,2.7,0.4,31,4.4,2.7,0.4,7,289,12.0,6.5,0.9,51.8,29.0,69.0,54.1
402,jonesdi01,Dillon Jones,Small Forward,Right,6-5,240,29,October,2001,"Weber,State",54,2.5,2.2,1.1,54,2.5,2.2,1.1,1,54,2.5,2.2,1.1,38.3,25.4,60.7,44.4
403,jonesis01,Isaac Jones,Power Forward,Right,6-8,245,11,July,2000,"Wenatchee,Valley,College",40,3.4,1.4,0.3,40,3.4,1.4,0.3,1,40,3.4,1.4,0.3,65.1,37.5,63.9,66.9
404,tysonhu01,Hunter Tyson,Power Forward,Right,6-8,215,13,June,2000,Clemson,51,2.6,1.5,0.4,51,2.6,1.5,0.4,2,69,2.2,1.3,0.3,37.9,30.7,75.0,47.5
405,gillan01,Anthony Gill,Power Forward,Right,6-7,230,17,October,1992,"South,Carolina",51,2.5,1.3,0.3,51,2.5,1.3,0.3,5,230,3.4,1.7,0.5,51.2,29.8,75.1,55.3
406,wrighde01,Delon Wright,"Point Guard , Shooting Guard",Right,6-5,185,26,April,1992,Utah,40,3.1,1.7,1.9,40,3.1,1.7,1.9,10,548,6.7,3.0,3.0,44.7,34.8,79.9,50.7
407,castlco01,Colin Castleton,"Center , Power Forward",Right,6-11,250,25,May,2000,Michigan,26,4.7,4.7,1.1,26,4.7,4.7,1.1,2,42,3.5,3.2,0.7,48.2,12.5,79.5,49.1
