player_id,player_name,Position,Shoots,Height,Weight,Birthday,Birthmonth,Birthyear,College,Draft,Draft Team,Draf Pick,Experience,NBA Debut
alexaky01,Kyle Alexander,Center,Right,6-11,220,21,October,1996,Tennessee,,,,,"August 6, 2020"
alexani01,Nickeil Alexander-Walker,Shooting Guard,Right,6-5,205,2,September,1998,Virginia Tech,2019 NBA Draft,Brooklyn Nets,"1st round (17th pick, 17th overall)",7.0,"October 22, 2019"
alexatr01,Trey Alexander,Shooting Guard,Right,6-5,185,2,May,2003,Creighton,,,,2.0,"October 24, 2024"
alexaty01,Ty-Shon Alexander,Shooting Guard,Right,6-3,195,16,July,1998,Creighton,,,,,"December 27, 2020"
alkinra01,Rawle Alkins,Shooting Guard,Right,6-5,225,29,October,1997,Arizona,,,,,"December 17, 2018"
allengr01,Grayson Allen,Shooting Guard,Right,6-3,198,8,October,1995,Duke,2018 NBA Draft,Utah Jazz,"1st round (21st pick, 21st overall)",8.0,"October 22, 2018"
allenja01,Jarrett Allen,Center,Right,6-9,243,21,April,1998,Texas,2017 NBA Draft,Brooklyn Nets,"1st round (22nd pick, 22nd overall)",9.0,"October 20, 2017"
allenka01,Kadeem Allen,Point Guard,Right,6-1,200,15,January,1993,Arizona,2017 NBA Draft,Boston Celtics,"2nd round (23rd pick, 53rd overall)",,"December 11, 2017"
allenlu01,Lucius Allen,Point Guard,Right,6-2,175,26,September,1947,UCLA,1969 NBA Draft,Seattle SuperSonics,"1st round (3rd pick, 3rd overall)",,"October 14, 1969"
allenra02,Ray Allen,Shooting Guard,Right,6-5,205,20,July,1975,UConn,1996 NBA Draft,Minnesota Timberwolves,"1st round (5th pick, 5th overall)",,"November 1, 1996"
allenti01,Timmy Allen,Small Forward,Right,6-6,210,9,January,2000,Utah,,,,,"April 6, 2024"
allento01,Tony Allen,"Shooting Guard, Small Forward, Point Guard",Right,6-4,213,11,January,1982,Butler County Community College,2004 NBA Draft,Boston Celtics,"1st round (25th pick, 25th overall)",,"November 3, 2004"
alvarjo01,Jose Alvarado,Point Guard,Right,6-0,179,12,April,1998,Georgia Tech,,,,5.0,"November 3, 2021"
aminual01,Al-Farouq Aminu,"Power Forward, Small Forward",Right,6-9,220,21,September,1990,Wake Forest,2010 NBA Draft,Los Angeles Clippers,"1st round (8th pick, 8th overall)",,"October 27, 2010"
anderan01,Andy Anderson,"Shooting Guard, Point Guard",Right,6-2,184,6,July,1945,Canisius,1967 NBA Draft,Boston Celtics,"8th round (9th pick, 88th overall)",,
anderch01,Chris Andersen,"Center, Power Forward",Right,6-10,245,7,July,1978,Blinn College,,,,,"November 23, 2001"
