player_id,player_name,Experience,Career Games,Career Points,Career Total Rebound Percentage,Career Assists Percentage,Career Field Goal Percentage,Career 3pt Field Goal Percentage,Career Free Throw Percentage,Career Effective Field Goal Percentage,Career Player Efficiency Rating,Career Win Shares
jarosto01,Tony Jaros,,242,5.4,2.1,0.9,30.6,,70.2,,,8.5
jarrede01,DeJon Jarreau,3.0,21,6.2,4.5,3.0,37.6,18.6,67.6,40.6,9.7,-0.2
jarviji01,Jim Jarvis,,125,5.8,1.9,1.2,37.4,32.6,80.3,39.5,10.2,0.9
jeannbu01,Buddy Jeannette,,139,7.2,,2.1,34.1,,78.1,,,15.7
jeffeam01,Amile Jefferson,,30,1.4,1.5,0.2,50.0,,54.5,50.0,14.7,0.4
jeffeot01,Othyus Jeffers,,37,3.8,2.6,0.6,46.0,16.7,66.7,46.5,12.7,0.8
jefferi01,Richard Jefferson,,1181,12.6,4.0,2.0,46.4,37.6,76.8,51.1,14.4,83.0
jeffrda01,DaQuan Jeffries,7.0,114,4.7,2.1,0.8,42.1,32.0,80.4,50.9,8.3,1.3
jemistr01,Trey Jemison,3.0,76,3.7,3.4,0.6,55.5,,59.3,55.5,10.1,1.1
jenkida01,Daniss Jenkins,2.0,79,8.6,2.1,3.6,40.7,36.6,82.2,47.1,13.2,2.8
jenkijo01,John Jenkins,,171,5.0,1.5,0.8,44.1,36.7,84.7,52.4,11.7,3.0
jentch01,Chris Jent,,6,6.2,2.7,1.3,46.9,42.9,50.0,56.3,11.6,0.2
jerebjo01,Jonas Jerebko,,635,6.2,4.0,0.8,45.7,36.3,77.0,52.0,13.2,25.8
jeromty01,Ty Jerome,7.0,244,9.3,2.1,3.0,46.0,38.6,85.4,55.0,15.8,11.2
joeis01,Isaiah Joe,6.0,392,8.2,2.1,1.2,43.6,40.6,85.5,59.3,13.5,19.0
johnsaj01,AJ Johnson,2.0,77,4.9,1.5,1.6,35.7,24.5,85.7,40.4,6.5,-1.3
johnsal02,Alize Johnson,5.0,76,2.5,3.0,0.4,48.1,22.7,71.1,49.7,14.7,1.3
johnsam01,Amir Johnson,,870,7.0,5.4,1.2,57.0,33.2,67.3,58.2,15.8,55.3
johnsar01,Arnie Johnson,,332,8.7,6.2,2.2,41.8,,73.1,,16.1,39.3
johnsav01,Avery Johnson,,1054,8.4,1.7,5.5,47.9,14.5,70.6,48.1,14.5,56.5
johnsbj01,B.J. Johnson,,21,3.8,1.8,0.1,38.7,38.5,91.7,45.3,9.4,0.0
johnsca02,Cameron Johnson,7.0,394,12.8,3.9,2.0,45.7,39.6,84.9,57.5,14.7,26.6
johnsch01,Charles Johnson,,521,8.1,2.5,1.9,42.9,,75.6,,12.5,13.4
johnsch06,Chaney Johnson,1.0,17,8.2,4.6,2.1,54.3,30.0,80.0,59.0,16.0,0.9
johnscl01,Clemon Johnson,,761,5.4,4.6,1.0,49.2,0.0,62.1,49.2,12.7,25.5
johnscl02,Clay Johnson,,80,2.8,1.2,0.6,41.0,33.3,72.4,41.2,9.1,0.7
johnsda08,David Johnson,,2,0.0,0.0,0.0,0.0,0.0,,0.0,-20.0,0.0
johnsde01,Dennis Johnson,,1100,14.1,3.9,5.0,44.5,17.2,79.7,44.8,14.6,82.6
johnsge02,George Johnson,,904,4.8,6.5,1.0,45.1,50.0,69.4,45.1,12.4,33.0
johnsgu01,Gus Johnson,,631,16.2,12.1,2.5,44.0,19.0,70.0,44.0,16.7,36.9
johnsja01,James Johnson,,786,7.4,3.5,2.0,47.3,30.0,67.8,51.2,13.9,27.4
johnsja05,Jalen Johnson,5.0,256,14.2,7.4,4.0,49.7,33.5,75.1,54.5,17.6,15.9
johnsjo01,John Johnson,,869,12.9,5.5,3.8,44.6,0.0,77.9,44.6,14.1,37.1
johnsjo02,Joe Johnson,,1277,16.0,4.0,3.9,44.1,37.1,80.2,49.7,15.4,82.9
johnske04,Keldon Johnson,7.0,452,15.1,5.4,2.0,47.5,35.3,76.7,53.9,15.3,23.2
johnske07,Keon Johnson,4.0,161,8.2,2.7,1.9,37.9,32.4,76.5,45.6,9.9,-0.3
johnske08,Keyontae Johnson,1.0,9,1.2,1.1,0.4,31.3,33.3,,34.4,1.6,-0.1
johnske10,Keshad Johnson,2.0,48,3.7,1.9,0.3,53.1,31.4,65.8,59.2,16.2,1.0
johnsli01,Linton Johnson,,151,3.9,3.3,0.4,41.6,30.5,69.9,44.4,10.9,2.6
johnsma02,Magic Johnson,,906,19.5,7.2,11.2,52.0,30.3,84.8,53.3,24.1,155.8
johnsne01,Neil Johnston,,516,19.4,11.3,2.5,44.4,,76.8,,24.9,92.0
johnsre01,Reggie Johnson,,305,8.4,4.1,0.9,50.5,14.3,71.6,50.5,12.5,11.0
johnsri01,Rich Johnson,,135,5.0,3.1,0.4,46.1,,63.3,46.1,11.2,2.2
johnsst04,Stanley Johnson,,449,6.2,3.1,1.5,39.1,30.5,74.8,45.6,9.2,6.9
johnstr03,Tre Johnson,1.0,60,12.2,2.8,2.0,41.9,35.8,87.4,50.8,10.6,-0.7
johnsty01,Tyler Johnson,,354,9.8,3.0,2.3,42.6,36.0,77.9,50.1,13.0,16.5
johnsvi01,Vinnie Johnson,,984,12.0,3.2,3.3,46.4,25.4,74.0,46.8,15.2,50.8
johnswe01,Wesley Johnson,,609,7.0,3.2,1.1,40.4,33.7,74.1,48.1,10.0,10.7
jokicni01,Nikola JokiÄ,11.0,810,22.2,11.1,7.5,56.1,36.2,82.5,59.8,28.8,142.9
jonesbo01,Bobby Jones,,941,12.1,6.1,2.7,56.0,0.0,76.6,56.0,18.2,94.1
jonesca03,Carlik Jones,,12,2.0,0.7,0.9,29.2,42.9,70.0,35.4,7.4,0.0
jonesch01,Charles Jones,,726,2.5,4.5,0.9,48.0,0.0,61.8,48.0,9.2,24.6
jonesco02,Colby Jones,3.0,70,3.2,1.9,0.9,43.3,24.7,63.0,47.8,10.7,0.6
jonescu01,Curtis Jones,1.0,10,2.9,1.1,1.0,40.7,33.3,50.0,51.9,10.8,0.1
jonesda02,Dahntay Jones,,624,5.4,1.7,0.8,43.9,32.9,75.1,45.9,9.5,9.9
jonesda03,Damian Jones,,279,4.9,3.1,0.7,65.6,35.1,71.5,67.2,15.4,11.3
jonesda06,David Jones GarcÃ­a,1.0,11,2.9,1.2,1.6,52.0,60.0,50.0,58.0,20.9,0.3
jonesde02,Derrick Jones Jr.,10.0,547,7.5,3.3,0.8,50.6,33.0,71.2,56.8,13.1,26.5
jonesdi01,Dillon Jones,2.0,61,2.4,2.1,1.0,37.3,25.0,65.6,43.3,8.2,0.9
jonesdo02,Dominique Jones,,80,3.1,1.4,1.8,36.6,9.5,72.9,37.0,11.9,0.3
jonesea01,Earl Jones,,14,0.9,0.7,0.3,38.5,,75.0,38.5,0.2,-0.1
joneshe01,Herbert Jones,5.0,296,9.9,3.7,2.5,45.8,35.0,82.2,52.9,11.8,16.4
jonesis01,Isaac Jones,2.0,47,3.0,1.3,0.3,63.3,30.0,65.0,65.0,14.2,0.8
jonesja02,James Jones,,709,5.2,1.8,0.5,40.1,40.1,84.0,53.0,11.3,25.2
jonesja04,Jalen Jones,,32,4.8,2.3,0.3,40.0,37.0,67.4,47.7,11.0,0.4
jonesje01,Jemerrio Jones,,8,3.9,6.5,1.6,38.9,20.0,50.0,41.7,12.4,0.3
jonesjo01,Johnny Jones,,80,5.2,2.9,0.8,35.8,0.0,59.7,35.8,10.5,-0.6
joneska01,Kai Jones,,107,3.5,2.4,0.4,67.1,23.1,68.2,68.3,14.8,2.8
joneska03,Kam Jones,1.0,37,4.4,1.6,3.2,40.2,29.3,50.0,46.7,8.2,0.0
joneskc01,K.C. Jones,,676,7.4,3.5,4.3,38.7,,64.7,,10.4,38.6
jonesma05,Mason Jones,,51,4.4,1.5,1.2,42.7,32.9,66.3,51.2,13.2,0.6
jonesri01,Rich Jones,,508,15.6,7.4,2.7,42.0,30.3,76.9,42.9,14.1,24.7
jonesro01,Robin Jones,,75,4.9,4.1,1.1,47.0,,58.8,,12.8,2.1
jonessa01,Sam Jones,,871,17.7,4.9,2.5,45.6,,80.3,,18.7,92.3
jonessp01,Spencer Jones,2.0,84,4.5,2.7,0.7,48.3,36.0,63.0,58.1,8.9,2.6
joneste01,Terrence Jones,,234,10.4,5.7,1.0,50.1,29.7,62.1,52.4,17.1,14.7
jonestr01,Tre Jones,6.0,362,9.4,2.8,4.8,50.3,31.2,84.0,53.8,16.0,20.3
jonesty01,Tyus Jones,11.0,749,7.3,1.9,4.2,44.1,37.2,82.0,51.8,14.6,34.9
joneswa02,Wali Jones,,678,9.8,2.2,3.1,40.9,24.0,80.2,40.9,11.0,16.1
joneswi02,Wil Jones,,725,11.7,7.7,2.0,45.9,14.3,73.3,45.9,13.5,37.2
jordade01,DeAndre Jordan,18.0,1123,8.5,9.7,0.9,67.3,15.4,47.5,67.4,18.3,99.4
jordaed01,Eddie Jordan,,420,8.1,1.9,3.8,41.4,22.4,76.3,41.8,13.1,8.8
jordami01,Michael Jordan,,1072,30.1,6.2,5.3,49.7,32.7,83.5,50.9,27.9,214.0
jorgejo01,Johnny Jorgensen,,51,2.3,,0.6,36.6,,73.5,,,1.3
josepco01,Cory Joseph,,866,6.7,2.4,2.9,44.0,35.0,78.6,49.2,12.0,32.1
jovicni01,Nikola JoviÄ,4.0,154,8.3,3.6,2.2,42.5,34.1,75.6,51.9,12.1,4.7
juzanjo01,Johnny Juzang,4.0,123,6.9,2.2,0.9,42.1,35.8,78.5,53.9,10.8,1.9
