Rk,Season,TeamName,TeamId,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
6,1997-98,Phoenix Suns,PHO,82,19955,3138,6710,.468,431,1211,.356,2707,5499,.492,1459,1948,.749,991,2452,3443,2124,756,429,1236,1765,8166
7,1997-98,Houston Rockets,HOU,82,19830,2946,6513,.452,573,1670,.343,2373,4843,.490,1634,2120,.771,987,2350,3337,1799,686,294,1298,1653,8099
8,1997-98,Washington Wizards,WAS,82,19805,3080,6811,.452,320,944,.339,2760,5867,.470,1489,2156,.691,1121,2341,3462,1900,689,379,1156,1839,7969
9,1997-98,Chicago Bulls,CHI,82,19855,3064,6801,.451,311,962,.323,2753,5839,.471,1492,2009,.743,1243,2438,3681,1952,696,353,1178,1691,7931
10,1997-98,Charlotte Hornets,CHH,82,19780,2968,6344,.468,346,904,.383,2622,5440,.482,1641,2186,.751,985,2341,3326,1941,691,312,1247,1757,7923
11,1997-98,Vancouver Grizzlies,VAN,82,19830,3006,6567,.458,325,898,.362,2681,5669,.473,1586,2145,.739,1081,2313,3394,1960,614,349,1405,1809,7923
12,1997-98,Indiana Pacers,IND,82,19830,2921,6223,.469,401,1029,.390,2520,5194,.485,1631,2136,.764,874,2348,3222,1889,645,368,1168,1859,7874
13,1997-98,Los Angeles Clippers,LAC,82,19780,2930,6690,.438,525,1468,.358,2405,5222,.461,1480,2047,.723,1040,2276,3316,1533,625,456,1323,1827,7865
14,1997-98,Boston Celtics,BOS,82,19730,3012,6934,.434,415,1249,.332,2597,5685,.457,1425,1964,.726,1196,2044,3240,1816,987,366,1330,2203,7864
15,1997-98,Atlanta Hawks,ATL,82,19880,2887,6352,.455,337,1016,.332,2550,5336,.478,1749,2314,.756,1106,2417,3523,1569,653,491,1214,1671,7860
16,1997-98,Miami Heat,MIA,82,19755,2850,6327,.450,548,1544,.355,2302,4783,.481,1539,2082,.739,1028,2419,3447,1758,665,429,1226,1982,7787
17,1997-98,Toronto Raptors,TOR,82,19930,2965,6813,.435,372,1086,.343,2593,5727,.453,1479,2060,.718,1187,2149,3336,1746,769,663,1371,1851,7781
